DEMAND_FORECAST_ID,PRODUCT_ID,SITE_ID,FORECAST_DATE,FORECAST_CREATION_DATE,FORECAST_QUANTITY,FORECAST_TYPE,FORECAST_METHOD,FORECAST_HORIZON,CONFIDENCE_LEVEL,SCENARIO_ID,FISCAL_PERIOD,FISCAL_MONTH,FISCAL_QUARTER,FISCAL_YEAR,UNIT_REVENUE
1,10,3,2024-07-15,2024-07-01,1278,DEMAND,STATISTICAL,MONTHLY,0.77,1,FY24-JUL,July,Q3,2024,299.99
2,10,3,2024-07-15,2024-07-01,1460,DEMAND,STATISTICAL,MONTHLY,0.87,2,FY24-JUL,July,Q3,2024,299.99
3,10,3,2024-07-15,2024-07-01,1150,DEMAND,STATISTICAL,MONTHLY,0.91,3,FY24-JUL,July,Q3,2024,299.99
4,10,3,2024-08-15,2024-07-01,1994,DEMAND,STATISTICAL,MONTHLY,0.84,1,FY24-AUG,August,Q3,2024,299.99
5,10,3,2024-08-15,2024-07-01,2206,DEMAND,STATISTICAL,MONTHLY,0.93,2,FY24-AUG,August,Q3,2024,299.99
6,10,3,2024-08-15,2024-07-01,1795,DEMAND,STATISTICAL,MONTHLY,0.77,3,FY24-AUG,August,Q3,2024,299.99
7,10,3,2024-09-15,2024-07-01,1100,DEMAND,STATISTICAL,MONTHLY,0.92,1,FY24-SEP,September,Q3,2024,299.99
8,10,3,2024-09-15,2024-07-01,1244,DEMAND,STATISTICAL,MONTHLY,0.92,2,FY24-SEP,September,Q3,2024,299.99
9,10,3,2024-09-15,2024-07-01,990,DEMAND,STATISTICAL,MONTHLY,0.87,3,FY24-SEP,September,Q3,2024,299.99
10,10,3,2024-10-15,2024-07-01,2233,DEMAND,STATISTICAL,MONTHLY,0.76,1,FY24-OCT,October,Q4,2024,299.99
11,10,3,2024-10-15,2024-07-01,2939,DEMAND,STATISTICAL,MONTHLY,0.9,2,FY24-OCT,October,Q4,2024,299.99
12,10,3,2024-10-15,2024-07-01,2010,DEMAND,STATISTICAL,MONTHLY,0.95,3,FY24-OCT,October,Q4,2024,299.99
13,10,3,2024-11-15,2024-07-01,2589,DEMAND,STATISTICAL,MONTHLY,0.8,1,FY24-NOV,November,Q4,2024,299.99
14,10,3,2024-11-15,2024-07-01,3262,DEMAND,STATISTICAL,MONTHLY,0.81,2,FY24-NOV,November,Q4,2024,299.99
15,10,3,2024-11-15,2024-07-01,2330,DEMAND,STATISTICAL,MONTHLY,0.88,3,FY24-NOV,November,Q4,2024,299.99
16,10,3,2024-12-15,2024-07-01,1434,DEMAND,STATISTICAL,MONTHLY,0.78,1,FY24-DEC,December,Q4,2024,299.99
17,10,3,2024-12-15,2024-07-01,1844,DEMAND,STATISTICAL,MONTHLY,0.88,2,FY24-DEC,December,Q4,2024,299.99
18,10,3,2024-12-15,2024-07-01,1291,DEMAND,STATISTICAL,MONTHLY,0.89,3,FY24-DEC,December,Q4,2024,299.99
19,10,4,2024-07-15,2024-07-01,1899,DEMAND,STATISTICAL,MONTHLY,0.88,1,FY24-JUL,July,Q3,2024,299.99
20,10,4,2024-07-15,2024-07-01,2147,DEMAND,STATISTICAL,MONTHLY,0.78,2,FY24-JUL,July,Q3,2024,299.99
21,10,4,2024-07-15,2024-07-01,1709,DEMAND,STATISTICAL,MONTHLY,0.9,3,FY24-JUL,July,Q3,2024,299.99
22,10,4,2024-08-15,2024-07-01,834,DEMAND,STATISTICAL,MONTHLY,0.84,1,FY24-AUG,August,Q3,2024,299.99
23,10,4,2024-08-15,2024-07-01,929,DEMAND,STATISTICAL,MONTHLY,0.94,2,FY24-AUG,August,Q3,2024,299.99
24,10,4,2024-08-15,2024-07-01,751,DEMAND,STATISTICAL,MONTHLY,0.89,3,FY24-AUG,August,Q3,2024,299.99
25,10,4,2024-09-15,2024-07-01,949,DEMAND,STATISTICAL,MONTHLY,0.89,1,FY24-SEP,September,Q3,2024,299.99
26,10,4,2024-09-15,2024-07-01,1084,DEMAND,STATISTICAL,MONTHLY,0.91,2,FY24-SEP,September,Q3,2024,299.99
27,10,4,2024-09-15,2024-07-01,854,DEMAND,STATISTICAL,MONTHLY,0.8,3,FY24-SEP,September,Q3,2024,299.99
28,10,4,2024-10-15,2024-07-01,650,DEMAND,STATISTICAL,MONTHLY,0.91,1,FY24-OCT,October,Q4,2024,299.99
29,10,4,2024-10-15,2024-07-01,838,DEMAND,STATISTICAL,MONTHLY,0.76,2,FY24-OCT,October,Q4,2024,299.99
30,10,4,2024-10-15,2024-07-01,585,DEMAND,STATISTICAL,MONTHLY,0.93,3,FY24-OCT,October,Q4,2024,299.99
31,10,4,2024-11-15,2024-07-01,1910,DEMAND,STATISTICAL,MONTHLY,0.93,1,FY24-NOV,November,Q4,2024,299.99
32,10,4,2024-11-15,2024-07-01,2448,DEMAND,STATISTICAL,MONTHLY,0.88,2,FY24-NOV,November,Q4,2024,299.99
33,10,4,2024-11-15,2024-07-01,1719,DEMAND,STATISTICAL,MONTHLY,0.83,3,FY24-NOV,November,Q4,2024,299.99
34,10,4,2024-12-15,2024-07-01,2728,DEMAND,STATISTICAL,MONTHLY,0.88,1,FY24-DEC,December,Q4,2024,299.99
35,10,4,2024-12-15,2024-07-01,3449,DEMAND,STATISTICAL,MONTHLY,0.78,2,FY24-DEC,December,Q4,2024,299.99
36,10,4,2024-12-15,2024-07-01,2455,DEMAND,STATISTICAL,MONTHLY,0.9,3,FY24-DEC,December,Q4,2024,299.99
37,10,5,2024-07-15,2024-07-01,1924,DEMAND,STATISTICAL,MONTHLY,0.8,1,FY24-JUL,July,Q3,2024,299.99
38,10,5,2024-07-15,2024-07-01,2172,DEMAND,STATISTICAL,MONTHLY,0.93,2,FY24-JUL,July,Q3,2024,299.99
39,10,5,2024-07-15,2024-07-01,1731,DEMAND,STATISTICAL,MONTHLY,0.83,3,FY24-JUL,July,Q3,2024,299.99
40,10,5,2024-08-15,2024-07-01,1139,DEMAND,STATISTICAL,MONTHLY,0.95,1,FY24-AUG,August,Q3,2024,299.99
41,10,5,2024-08-15,2024-07-01,1261,DEMAND,STATISTICAL,MONTHLY,0.85,2,FY24-AUG,August,Q3,2024,299.99
42,10,5,2024-08-15,2024-07-01,1025,DEMAND,STATISTICAL,MONTHLY,0.9,3,FY24-AUG,August,Q3,2024,299.99
43,10,5,2024-09-15,2024-07-01,2716,DEMAND,STATISTICAL,MONTHLY,0.77,1,FY24-SEP,September,Q3,2024,299.99
44,10,5,2024-09-15,2024-07-01,3072,DEMAND,STATISTICAL,MONTHLY,0.91,2,FY24-SEP,September,Q3,2024,299.99
45,10,5,2024-09-15,2024-07-01,2444,DEMAND,STATISTICAL,MONTHLY,0.83,3,FY24-SEP,September,Q3,2024,299.99
46,10,5,2024-10-15,2024-07-01,869,DEMAND,STATISTICAL,MONTHLY,0.83,1,FY24-OCT,October,Q4,2024,299.99
47,10,5,2024-10-15,2024-07-01,1139,DEMAND,STATISTICAL,MONTHLY,0.84,2,FY24-OCT,October,Q4,2024,299.99
48,10,5,2024-10-15,2024-07-01,782,DEMAND,STATISTICAL,MONTHLY,0.8,3,FY24-OCT,October,Q4,2024,299.99
49,10,5,2024-11-15,2024-07-01,2254,DEMAND,STATISTICAL,MONTHLY,0.92,1,FY24-NOV,November,Q4,2024,299.99
50,10,5,2024-11-15,2024-07-01,2820,DEMAND,STATISTICAL,MONTHLY,0.89,2,FY24-NOV,November,Q4,2024,299.99
51,10,5,2024-11-15,2024-07-01,2028,DEMAND,STATISTICAL,MONTHLY,0.89,3,FY24-NOV,November,Q4,2024,299.99
52,10,5,2024-12-15,2024-07-01,2207,DEMAND,STATISTICAL,MONTHLY,0.9,1,FY24-DEC,December,Q4,2024,299.99
53,10,5,2024-12-15,2024-07-01,2928,DEMAND,STATISTICAL,MONTHLY,0.82,2,FY24-DEC,December,Q4,2024,299.99
54,10,5,2024-12-15,2024-07-01,1986,DEMAND,STATISTICAL,MONTHLY,0.81,3,FY24-DEC,December,Q4,2024,299.99
55,20,3,2024-07-15,2024-07-01,823,DEMAND,STATISTICAL,MONTHLY,0.84,1,FY24-JUL,July,Q3,2024,449.99
56,20,3,2024-07-15,2024-07-01,945,DEMAND,STATISTICAL,MONTHLY,0.93,2,FY24-JUL,July,Q3,2024,449.99
