INVENTORY_BALANCE_ID,PRODUCT_ID,SITE_ID,WAREHOUSE_ZONE_ID,BALANCE_DATE,QUANTITY_ON_HAND,QUANTITY_RESERVED,QUANTITY_AVAILABLE,UNIT_OF_MEASURE
1,10,4,402,2024-09-01,718,173,545,EACH
2,10,4,404,2024-09-01,1166,319,847,EACH
3,10,4,401,2024-09-01,913,52,861,EACH
4,10,3,304,2024-09-01,115,32,83,EACH
5,10,5,504,2024-09-01,1456,431,1025,EACH
6,20,5,505,2024-09-01,1347,144,1203,EACH
7,20,4,402,2024-09-01,711,175,536,EACH
8,20,4,405,2024-09-01,321,61,260,EACH
9,20,5,502,2024-09-01,230,43,187,EACH
10,20,5,501,2024-09-01,666,163,503,EACH
11,30,4,402,2024-09-01,485,38,447,EACH
12,30,4,401,2024-09-01,1159,123,1036,EACH
13,30,5,504,2024-09-01,216,51,165,EACH
14,30,5,502,2024-09-01,1452,163,1289,EACH
15,30,5,503,2024-09-01,1494,71,1423,EACH
16,31,5,503,2024-09-01,631,107,524,EACH
17,31,3,301,2024-09-01,928,198,730,EACH
18,31,5,502,2024-09-01,172,37,135,EACH
19,31,4,404,2024-09-01,1271,97,1174,EACH
20,31,4,401,2024-09-01,802,185,617,EACH
21,40,5,503,2024-09-01,1475,183,1292,EACH
22,40,3,304,2024-09-01,1138,153,985,EACH
23,40,5,502,2024-09-01,448,46,402,EACH
24,40,4,405,2024-09-01,701,24,677,EACH
25,40,4,404,2024-09-01,1064,65,999,EACH
26,50,5,503,2024-09-01,1492,171,1321,EACH
27,50,4,401,2024-09-01,1440,45,1395,EACH
28,50,5,505,2024-09-01,555,90,465,EACH
29,50,4,405,2024-09-01,557,78,479,EACH
30,50,3,303,2024-09-01,961,169,792,EACH
31,60,4,402,2024-09-01,341,60,281,EACH
32,60,4,401,2024-09-01,209,55,154,EACH
33,60,5,501,2024-09-01,1399,298,1101,EACH
34,60,5,504,2024-09-01,1288,317,971,EACH
35,60,4,404,2024-09-01,245,60,185,EACH
36,70,3,304,2024-09-01,1185,152,1033,EACH
37,70,4,405,2024-09-01,946,27,919,EACH
38,70,3,302,2024-09-01,408,17,391,EACH
39,70,5,502,2024-09-01,510,87,423,EACH
40,70,4,403,2024-09-01,938,234,704,EACH
41,80,3,303,2024-09-01,1098,170,928,EACH
42,80,4,402,2024-09-01,1392,90,1302,EACH
43,80,5,503,2024-09-01,741,162,579,EACH
44,80,5,505,2024-09-01,218,0,218,EACH
45,80,3,302,2024-09-01,1025,140,885,EACH
46,90,3,304,2024-09-01,1102,45,1057,EACH
47,90,5,504,2024-09-01,365,78,287,EACH
48,90,3,303,2024-09-01,988,219,769,EACH
49,90,5,501,2024-09-01,926,219,707,EACH
50,90,5,503,2024-09-01,1077,196,881,EACH
51,91,3,301,2024-09-01,128,20,108,EACH
52,91,5,505,2024-09-01,1187,97,1090,EACH
53,91,4,405,2024-09-01,136,0,136,EACH
54,91,3,304,2024-09-01,1383,375,1008,EACH
