LOGISTICS_COST_ID,SITE_ID,WAREHOUSE_ZONE_ID,STORAGE_COST_PER_PALLET_PER_DAY,TRANSPORT_COST_PER_UNIT,HANDLING_COST_PER_PALLET,OVERFLOW_PENALTY_RATE,OVERFLOW_PENALTY_THRESHOLD_PCT,EFFECTIVE_DATE,EXPIRY_DATE,VENDOR_NAME,CONTRACT_REFERENCE
1,3,301,2.0,0.33,5.75,4.0,90,2024-01-01,2024-12-31,Pacific Distribution Services,3PL-WH-WEST-2024
2,3,302,2.0,0.29,4.36,4.0,90,2024-01-01,2024-12-31,Pacific Distribution Services,3PL-WH-WEST-2024
3,3,303,3.0,0.23,3.99,4.0,90,2024-01-01,2024-12-31,Pacific Distribution Services,3PL-WH-WEST-2024
4,3,304,1.6,0.26,6.39,4.0,90,2024-01-01,2024-12-31,Pacific Distribution Services,3PL-WH-WEST-2024
5,4,401,1.8,0.32,5.44,3.5,90,2024-01-01,2024-12-31,Central Logistics Corp,3PL-WH-CENT-2024
6,4,402,1.8,0.29,4.31,3.5,90,2024-01-01,2024-12-31,Central Logistics Corp,3PL-WH-CENT-2024
7,4,403,2.7,0.23,3.56,3.5,90,2024-01-01,2024-12-31,Central Logistics Corp,3PL-WH-CENT-2024
8,4,404,1.8,0.31,5.8,3.5,90,2024-01-01,2024-12-31,Central Logistics Corp,3PL-WH-CENT-2024
9,4,405,1.44,0.15,6.23,3.5,90,2024-01-01,2024-12-31,Central Logistics Corp,3PL-WH-CENT-2024
10,5,501,2.5,0.28,5.3,5.0,85,2024-01-01,2024-12-31,Northeast 3PL Partners,3PL-WH-NE-2024
11,5,502,2.5,0.15,4.26,5.0,85,2024-01-01,2024-12-31,Northeast 3PL Partners,3PL-WH-NE-2024
12,5,503,3.75,0.31,4.42,5.0,85,2024-01-01,2024-12-31,Northeast 3PL Partners,3PL-WH-NE-2024
13,5,504,2.5,0.34,5.43,5.0,85,2024-01-01,2024-12-31,Northeast 3PL Partners,3PL-WH-NE-2024
14,5,505,2.0,0.23,4.63,5.0,85,2024-01-01,2024-12-31,Northeast 3PL Partners,3PL-WH-NE-2024
