WAREHOUSE_ZONE_ID,ZONE_CODE,ZONE_NAME,SITE_ID,ZONE_TYPE,ZONE_TEMPERATURE_CONTROL,MAX_CAPACITY_PALLETS,CURRENT_OCCUPANCY_PALLETS
301,WH-WEST-A,General Storage A,3,STANDARD,AMBIENT,8000,5200
302,WH-WEST-B,General Storage B,3,STANDARD,AMBIENT,8000,4800
303,WH-WEST-C,High Value Storage,3,HIGH_VALUE,CLIMATE_CONTROLLED,5000,3500
304,WH-WEST-D,Staging Area,3,STAGING,AMBIENT,4000,2100
401,WH-CENT-A,Appliance Storage A,4,STANDARD,AMBIENT,10000,7500
402,WH-CENT-B,Appliance Storage B,4,STANDARD,AMBIENT,10000,6800
403,WH-CENT-C,Electronics Storage,4,HIGH_VALUE,CLIMATE_CONTROLLED,5000,4200
404,WH-CENT-D,Outdoor Equipment,4,STANDARD,AMBIENT,3000,1800
405,WH-CENT-E,Staging & Shipping,4,STAGING,AMBIENT,2000,1200
501,WH-NE-A,General Storage A,5,STANDARD,AMBIENT,6000,5400
502,WH-NE-B,General Storage B,5,STANDARD,AMBIENT,5000,4200
503,WH-NE-C,Electronics Storage,5,HIGH_VALUE,CLIMATE_CONTROLLED,4000,3600
504,WH-NE-D,Overflow Area,5,STANDARD,AMBIENT,3000,2400
505,WH-NE-E,Staging Dock,5,STAGING,AMBIENT,2000,1500
